"id","neighbourhood_group","neighbourhood","lat","long","instant_bookable","room_type","construction_year","price","service_fee","min_nights","host_listings_count","availability"
52563,"Bronx","Wakefield",40.88631,-73.85881,FALSE,"Private room",2008,1178,236,1,5,365
34535,"Manhattan","Midtown",40.76366,-73.98342,FALSE,"Entire home/apt",2020,121,24,30,65,329
75574,"Manhattan","West Village",40.73753,-74.00882,TRUE,"Entire home/apt",2014,57,11,2,1,80
23628,"Brooklyn","Crown Heights",40.67615,-73.92935,FALSE,"Entire home/apt",2009,53,11,3,1,144
30606,"Brooklyn","Williamsburg",40.71412,-73.94447,TRUE,"Entire home/apt",2016,972,194,45,1,0
53273,"Brooklyn","Prospect Heights",40.67976,-73.97109,TRUE,"Entire home/apt",2011,406,81,3,2,52
88949,"Manhattan","Washington Heights",40.85842,-73.92928,FALSE,"Private room",2018,740,148,1,1,0
25512,"Brooklyn","Crown Heights",40.67061,-73.93151,TRUE,"Private room",2015,590,118,2,1,5
57012,"Brooklyn","Williamsburg",40.70462,-73.93283,TRUE,"Private room",2016,447,89,5,3,86
93628,"Brooklyn","Bedford-Stuyvesant",40.68052,-73.92952,FALSE,"Entire home/apt",2004,705,141,2,1,65
79878,"Brooklyn","Bedford-Stuyvesant",40.68435,-73.94135,FALSE,"Entire home/apt",2016,1187,237,3,3,170
75688,"Brooklyn","Bushwick",40.70065,-73.92378,FALSE,"Private room",2021,525,105,2,2,48
69310,"Queens","Sunnyside",40.74679,-73.91853,FALSE,"Private room",2021,343,69,3,1,330
11101,"Staten Island","St. George",40.64779,-74.0846,TRUE,"Entire home/apt",2021,776,155,1,1,259
63950,"Manhattan","Chelsea",40.749565,-73.996368,FALSE,"Entire home/apt",2014,1027,205,90,20,348
48985,"Queens","Long Island City",40.74717,-73.94254,FALSE,"Entire home/apt",2009,214,43,1,7,5
40891,"Brooklyn","East Flatbush",40.65057,-73.92383,TRUE,"Private room",2022,1112,222,1,1,341
79384,"Manhattan","Lower East Side",40.72147,-73.98774,TRUE,"Entire home/apt",2017,524,105,2,1,0
92164,"Manhattan","Chinatown",40.71626,-73.99224,TRUE,"Private room",2022,516,103,1,1,54
35475,"Queens","Springfield Gardens",40.66932,-73.7514,TRUE,"Private room",2018,508,102,5,2,90
87607,"Brooklyn","Sunset Park",40.66053,-73.98929,FALSE,"Entire home/apt",2020,1194,239,5,1,0
77981,"Manhattan","Midtown",40.75327,-73.97175,FALSE,"Private room",2016,226,45,3,12,365
36706,"Brooklyn","Bay Ridge",40.6339,-74.03049,TRUE,"Private room",2019,655,131,1,4,4
90495,"Manhattan","Chelsea",40.74182,-73.99904,FALSE,"Private room",2022,542,108,1,1,19
15286,"Brooklyn","Crown Heights",40.66946,-73.95306,FALSE,"Private room",2012,279,56,2,1,-3
12075,"Brooklyn","Bedford-Stuyvesant",40.68925,-73.94462,TRUE,"Private room",2008,1018,204,2,1,185
12561,"Queens","Astoria",40.76112,-73.9146,TRUE,"Private room",2016,139,28,1,2,324
12274,"Manhattan","Financial District",40.70864,-74.00675,TRUE,"Entire home/apt",2004,222,44,1,1,246
12593,"Brooklyn","Williamsburg",40.71436,-73.95421,TRUE,"Private room",2017,984,197,3,1,389
63048,"Brooklyn","East New York",40.66843047,-73.8938705,FALSE,"Entire home/apt",2015,647,129,2,1,90
21905,"Brooklyn","Bushwick",40.69516,-73.92258,FALSE,"Private room",2014,640,128,5,4,350
90648,"Brooklyn","Williamsburg",40.71404,-73.95783,TRUE,"Private room",2014,1033,207,1,1,0
26775,"Manhattan","Upper West Side",40.76858,-73.9847,FALSE,"Entire home/apt",2015,1057,211,3,1,0
76169,"Brooklyn","Williamsburg",40.7176,-73.96148,TRUE,"Entire home/apt",2013,457,91,3,1,7
70320,"Brooklyn","Cobble Hill",40.68556,-73.99779,FALSE,"Entire home/apt",2016,110,22,5,1,0
52396,"Queens","Woodside",40.74456,-73.90574,TRUE,"Private room",2014,564,113,3,4,331
20767,"Manhattan","Financial District",40.70639,-74.00794,FALSE,"Private room",2020,824,165,5,1,0
30217,"Manhattan","Washington Heights",40.8347,-73.94487,FALSE,"Private room",2017,717,143,3,1,348
20099,"Manhattan","Lower East Side",40.71339,-73.98926,TRUE,"Private room",2018,75,15,3,1,217
17705,"Queens","Richmond Hill",40.69196,-73.82029,TRUE,"Private room",2003,387,77,3,5,212
37518,"Brooklyn","Bedford-Stuyvesant",40.67893,-73.94318,TRUE,"Private room",2004,1101,220,3,1,58
8267,"Manhattan","Washington Heights",40.85111,-73.93325,TRUE,"Private room",2015,132,26,2,1,223
84421,"Queens","Flushing",40.75485,-73.82138,TRUE,"Entire home/apt",2009,815,163,3,1,368
48760,"Queens","Long Island City",40.75508,-73.93258,TRUE,"Entire home/apt",2007,735,147,2,1,364
48338,"Brooklyn","Borough Park",40.64283,-73.99416,TRUE,"Shared room",2006,341,68,1,4,365
74111,"Brooklyn","Williamsburg",40.7079,-73.94608,FALSE,"Private room",2012,406,81,2,1,188
95770,"Manhattan","East Harlem",40.79788,-73.93265,FALSE,"Entire home/apt",2008,1185,237,7,1,278
85724,"Manhattan","Harlem",40.8242,-73.94777,TRUE,"Private room",2018,456,91,1,1,386
100919,"Manhattan","East Village",40.72638,-73.98464,FALSE,"Entire home/apt",2007,641,128,4,1,0
60550,"Queens","Woodhaven",40.69662,-73.85019,TRUE,"Private room",2019,805,161,30,3,359
76643,"Brooklyn","Bay Ridge",40.62413,-74.03085,TRUE,"Entire home/apt",2018,830,166,1,1,0
39581,"Manhattan","Harlem",40.82621,-73.94125,TRUE,"Entire home/apt",2015,745,149,30,1,209
12643,"Brooklyn","South Slope",40.66759,-73.99009,TRUE,"Entire home/apt",2006,379,76,3,3,28
102331,"Manhattan","Upper East Side",40.76938,-73.95212,TRUE,"Entire home/apt",2021,260,52,2,3,62
34151,"Manhattan","East Harlem",40.80203,-73.93885,FALSE,"Shared room",2011,873,175,1,1,0
24449,"Brooklyn","Williamsburg",40.70994,-73.95243,FALSE,"Private room",2017,184,37,4,1,0
38825,"Brooklyn","Williamsburg",40.71434,-73.9398,FALSE,"Private room",2003,653,131,1,1,364
29728,"Manhattan","Harlem",40.80684,-73.94612,TRUE,"Private room",2017,1120,224,3,1,0
79073,"Manhattan","Chinatown",40.71463,-73.99658,FALSE,"Entire home/apt",2016,452,90,1,1,212
1623,"Staten Island","Arrochar",40.59193,-74.06476,TRUE,"Entire home/apt",2021,1137,227,4,4,343
74521,"Queens","Long Island City",40.74479,-73.94997,FALSE,"Entire home/apt",2008,880,176,31,1,133
11488,"Manhattan","East Harlem",40.79207,-73.94196,TRUE,"Private room",2022,1189,238,1,2,231
3247,"Bronx","City Island",40.85258,-73.78762,TRUE,"Entire home/apt",2015,150,30,3,1,182
69306,"Brooklyn","Carroll Gardens",40.67579,-73.99968,FALSE,"Entire home/apt",2021,1017,203,6,1,0
37557,"Brooklyn","Williamsburg",40.71818,-73.95945,TRUE,"Entire home/apt",2008,279,56,2,2,273
90194,"Queens","Elmhurst",40.74012,-73.88917,FALSE,"Private room",2012,382,76,1,4,0
88576,"Brooklyn","Sunset Park",40.65348,-74.00255,FALSE,"Entire home/apt",2022,311,62,1,1,364
23037,"Brooklyn","Williamsburg",40.7137,-73.95711,TRUE,"Entire home/apt",2013,143,29,3,1,33
45632,"Brooklyn","Bedford-Stuyvesant",40.68098,-73.91608,FALSE,"Private room",2015,420,84,2,2,1
93355,"Queens","Sunnyside",40.74756,-73.91222,FALSE,"Entire home/apt",2004,78,16,2,1,27
21712,"Manhattan","Harlem",40.81161,-73.94394,TRUE,"Private room",2010,163,33,5,1,0
21429,"Manhattan","East Village",40.72415,-73.97451,TRUE,"Private room",2020,1099,220,1,1,86
22051,"Queens","Bayside",40.74924,-73.75654,FALSE,"Private room",2017,289,58,3,5,96
11820,"Brooklyn","Clinton Hill",40.69517,-73.96702,TRUE,"Entire home/apt",2010,54,11,3,1,79
39229,"Brooklyn","Greenpoint",40.7205,-73.94717,TRUE,"Entire home/apt",2017,785,157,3,1,3
45886,"Brooklyn","Williamsburg",40.71399,-73.94683,FALSE,"Entire home/apt",2013,704,141,2,3,298
7113,"Manhattan","Harlem",40.82383,-73.94639,FALSE,"Private room",2019,278,56,1,1,365
65787,"Brooklyn","Greenpoint",40.72484,-73.95035,FALSE,"Entire home/apt",2010,1020,204,25,1,0
60213,"Manhattan","Midtown",40.74504,-73.9823,FALSE,"Private room",2009,438,88,1,11,292
6944,"Manhattan","Lower East Side",40.71904,-73.98962,FALSE,"Private room",2010,590,118,2,5,286
61510,"Brooklyn","Sunset Park",40.64161,-74.02352,FALSE,"Entire home/apt",2018,447,89,14,2,23
54587,"Manhattan","Harlem",40.80817,-73.94123,TRUE,"Private room",2014,117,23,1,2,41
28075,"Brooklyn","Greenpoint",40.72508,-73.94698,TRUE,"Entire home/apt",2008,499,100,1,1,0
98056,"Brooklyn","Greenpoint",40.73347,-73.95164,TRUE,"Private room",2017,975,195,3,1,0
95213,"Bronx","Pelham Gardens",40.86681,-73.84073,TRUE,"Entire home/apt",2003,891,178,2,1,111
38532,"Manhattan","Hell's Kitchen",40.76211,-73.99791,TRUE,"Entire home/apt",2021,1112,222,30,8,185
39590,"Manhattan","Upper East Side",40.78013,-73.96031,TRUE,"Entire home/apt",2020,935,187,14,1,358
87747,"Brooklyn","South Slope",40.66562,-73.98936,FALSE,"Private room",2021,999,200,1,1,0
9210,"Brooklyn","Williamsburg",40.71558,-73.93926,FALSE,"Entire home/apt",2011,643,129,5,1,157
83019,"Manhattan","Hell's Kitchen",40.76506,-73.98567,FALSE,"Private room",2007,327,65,3,6,225
5456,"Manhattan","Upper West Side",40.80075,-73.9677,FALSE,"Entire home/apt",2007,796,159,1,1,340
12898,"Manhattan","Hell's Kitchen",40.76379,-73.99378,FALSE,"Entire home/apt",2004,854,171,2,1,331
91341,"Queens","East Elmhurst",40.76367,-73.87088,FALSE,"Private room",2005,595,119,1,5,338
84327,"Queens","Ridgewood",40.70679,-73.91692,TRUE,"Entire home/apt",2021,1030,206,2,1,63
76266,"Manhattan","Theater District",40.76035,-73.98189,FALSE,"Entire home/apt",2013,666,133,30,1,168
73742,"Queens","Astoria",40.76143,-73.92122,TRUE,"Private room",2011,574,115,1,1,0
13807,"Brooklyn","Bushwick",40.69995,-73.92937,TRUE,"Entire home/apt",2004,942,188,5,1,298
311,"Bronx","Kingsbridge",40.87207,-73.90193,FALSE,"Entire home/apt",2009,55,11,30,2,315
50887,"Bronx","Allerton",40.87005,-73.84729,FALSE,"Entire home/apt",2004,297,59,1,1,150
5547,"Staten Island","Lighthouse Hill",40.57718,-74.13981,FALSE,"Entire home/apt",2007,69,14,2,1,183
54334,"Brooklyn","East New York",40.66563,-73.88892,FALSE,"Private room",2015,709,142,1,6,165
37832,"Brooklyn","Bedford-Stuyvesant",40.68931,-73.94041,TRUE,"Entire home/apt",2005,1048,210,2,1,8
77379,"Brooklyn","Bedford-Stuyvesant",40.69587,-73.93407,FALSE,"Private room",2014,395,79,2,1,90
20308,"Manhattan","West Village",40.73015,-74.00304,FALSE,"Entire home/apt",2009,813,163,3,1,334
64018,"Queens","Ditmars Steinway",40.77707,-73.90232,TRUE,"Entire home/apt",2019,535,107,3,1,228
19146,"Brooklyn","Bushwick",40.69555,-73.93069,FALSE,"Entire home/apt",2006,886,177,1,4,193
68483,"Manhattan","East Harlem",40.79383,-73.94968,TRUE,"Private room",2017,741,148,1,2,0
6734,"Queens","Ozone Park",40.68337,-73.8431,FALSE,"Private room",2007,1024,205,1,1,56
75565,"Manhattan","Washington Heights",40.85482,-73.93137,FALSE,"Entire home/apt",2009,483,97,1,5,324
31989,"Manhattan","Upper East Side",40.76195,-73.96056,TRUE,"Entire home/apt",2010,407,81,3,1,329
56834,"Queens","Forest Hills",40.73361,-73.85461,TRUE,"Entire home/apt",2006,1016,203,4,1,223
86640,"Bronx","Concourse Village",40.83041,-73.91838,TRUE,"Entire home/apt",2016,366,73,1,1,317
56432,"Manhattan","Upper East Side",40.77675,-73.95223,TRUE,"Entire home/apt",2011,136,27,2,1,223
28970,"Brooklyn","Bushwick",40.69613,-73.93264,TRUE,"Entire home/apt",2010,796,159,5,1,0
15001,"Brooklyn","Flatbush",40.63836,-73.95698,FALSE,"Private room",2020,172,34,1,1,369
61348,"Queens","Springfield Gardens",40.68875,-73.75461,TRUE,"Private room",2006,916,183,2,2,365
58921,"Queens","Flushing",40.76092,-73.79552,TRUE,"Private room",2019,907,181,1,3,270
66763,"Brooklyn","Dyker Heights",40.63037,-74.01469,FALSE,"Private room",2021,248,50,30,1,0
81686,"Queens","Sunnyside",40.74777,-73.91546,TRUE,"Private room",2020,233,47,6,1,14
86409,"Brooklyn","Bushwick",40.69092,-73.91073,TRUE,"Private room",2019,799,160,2,1,98
33233,"Brooklyn","Bedford-Stuyvesant",40.69455,-73.9343,FALSE,"Private room",2010,733,147,3,7,225
48552,"Queens","Ridgewood",40.69919,-73.89902,FALSE,"Private room",2010,59,12,1,1,0
83102,"Manhattan","Gramercy",40.73804,-73.98178,TRUE,"Entire home/apt",2014,1075,215,5,1,65
82465,"Brooklyn","East Flatbush",40.65593,-73.91798,TRUE,"Private room",2008,997,199,7,9,206
35708,"Brooklyn","Bushwick",40.69987,-73.91821,TRUE,"Private room",2008,282,56,1,1,36
70679,"Manhattan","East Harlem",40.78747,-73.95276,FALSE,"Private room",2009,304,61,3,1,0
54367,"Brooklyn","Cypress Hills",40.68909,-73.87055,FALSE,"Entire home/apt",2022,839,168,2,2,281
54145,"Brooklyn","Williamsburg",40.70907,-73.95637,TRUE,"Entire home/apt",2009,589,118,6,1,38
55281,"Manhattan","Washington Heights",40.83496,-73.93801,FALSE,"Entire home/apt",2006,1077,215,1,1,90
25420,"Manhattan","Gramercy",40.73775,-73.98319,TRUE,"Entire home/apt",2020,833,167,1,1,0
48245,"Manhattan","SoHo",40.72403,-73.997,FALSE,"Entire home/apt",2011,56,11,2,1,247
53029,"Manhattan","Harlem",40.823547,-73.950035,FALSE,"Private room",2010,558,112,2,1,189
51717,"Manhattan","Hell's Kitchen",40.76703,-73.98527,TRUE,"Private room",2010,841,168,1,1,132
46452,"Queens","Jamaica Estates",40.72085,-73.79179,TRUE,"Entire home/apt",2017,357,71,2,2,19
12600,"Manhattan","Upper West Side",40.79499,-73.96631,TRUE,"Private room",2020,849,170,1,1,361
100645,"Brooklyn","Williamsburg",40.71292,-73.94137,FALSE,"Private room",2007,427,85,3,3,0
85660,"Manhattan","Upper East Side",40.77725,-73.95137,FALSE,"Entire home/apt",2015,318,64,30,96,16
43594,"Manhattan","Midtown",40.76523,-73.98157,TRUE,"Entire home/apt",2004,755,151,5,1,207
74677,"Manhattan","Chelsea",40.7492,-73.99073,FALSE,"Private room",2012,659,132,1,9,319
32157,"Manhattan","Harlem",40.81185,-73.93902,TRUE,"Entire home/apt",2015,256,51,1,1,3
90735,"Manhattan","Harlem",40.82261,-73.95163,TRUE,"Private room",2020,1036,207,2,1,99
81606,"Brooklyn","Bushwick",40.69915,-73.93743,FALSE,"Private room",2015,1193,239,4,2,0
40918,"Brooklyn","South Slope",40.66626,-73.98127,FALSE,"Entire home/apt",2012,301,60,1,1,0
54190,"Brooklyn","Sunset Park",40.64414,-74.00131,FALSE,"Private room",2004,911,182,2,2,175
95615,"Brooklyn","Williamsburg",40.71233,-73.96208,FALSE,"Entire home/apt",2004,1093,219,4,1,60
40960,"Manhattan","Harlem",40.82163,-73.94757,TRUE,"Entire home/apt",2014,214,43,4,3,265
84340,"Brooklyn","Williamsburg",40.71004,-73.95644,FALSE,"Private room",2011,169,34,1,1,80
97967,"Queens","Elmhurst",40.73603,-73.87845,FALSE,"Private room",2007,907,181,2,2,177
71937,"Queens","Elmhurst",40.73607,-73.87981,FALSE,"Private room",2022,784,157,1,1,0
65238,"Queens","Sunnyside",40.74128,-73.92068,FALSE,"Private room",2006,157,31,2,1,0
75638,"Queens","Forest Hills",40.72755,-73.85028,FALSE,"Private room",2013,151,30,2,1,0
7905,"Manhattan","East Harlem",40.79816,-73.94111,FALSE,"Entire home/apt",2018,202,40,4,1,303
87278,"Manhattan","Chelsea",40.74361,-73.99885,TRUE,"Entire home/apt",2014,553,111,2,1,0
48968,"Manhattan","Gramercy",40.73275,-73.98242,FALSE,"Entire home/apt",2003,272,54,30,1,119
67869,"Brooklyn","Williamsburg",40.7165,-73.93957,FALSE,"Private room",2017,1129,226,30,1,0
99380,"Brooklyn","Fort Greene",40.68904,-73.97269,FALSE,"Entire home/apt",2014,1197,239,4,1,268
65379,"Staten Island","Shore Acres",40.61019,-74.06757,FALSE,"Entire home/apt",2014,686,137,6,1,187
22163,"Manhattan","Upper West Side",40.77048,-73.98252,FALSE,"Private room",2015,996,199,3,1,17
65674,"Manhattan","SoHo",40.7244,-74.00794,TRUE,"Hotel room",2007,927,185,1,11,73
80999,"Manhattan","Murray Hill",40.74808,-73.98172,TRUE,"Entire home/apt",2018,442,88,5,1,52
34474,"Manhattan","East Village",40.72875,-73.98443,TRUE,"Private room",2021,181,36,2,1,29
24578,"Brooklyn","Williamsburg",40.70496,-73.93122,TRUE,"Private room",2012,1178,236,2,2,179
70732,"Manhattan","Washington Heights",40.85704,-73.93789,TRUE,"Private room",2021,736,147,1,2,334
35794,"Brooklyn","Bushwick",40.70023,-73.92487,TRUE,"Private room",2013,433,87,1,1,0
29343,"Manhattan","Harlem",40.81685,-73.93711,FALSE,"Entire home/apt",2007,327,65,3,1,78
77604,"Brooklyn","Bushwick",40.69731,-73.93272,FALSE,"Private room",2016,397,79,1,1,0
24121,"Queens","East Elmhurst",40.76523,-73.86966,TRUE,"Private room",2013,1039,208,1,1,0
32505,"Manhattan","Greenwich Village",40.72926,-73.99968,FALSE,"Entire home/apt",2007,1149,230,3,1,0
